player_name,team,role,match_date,opponent,venue,fantasy_points
Ramakrishna Ghosh,CHE,AR,2024-03-20,KKR,Wankhede Stadium,48.257354019880864
Ramakrishna Ghosh,CHE,AR,2024-05-23,CSK,Wankhede Stadium,37.68516032589795
Ramakrishna Ghosh,CHE,AR,2024-03-01,CSK,Narendra Modi Stadium,18.644668209820594
Ramakrishna Ghosh,CHE,AR,2024-04-27,GT,Wankhede Stadium,43.733411981225125
Ramakrishna Ghosh,CHE,AR,2024-03-07,RCB,Punjab Cricket Association Stadium,15.552711324668367
Ramakrishna Ghosh,CHE,AR,2024-04-03,GT,Arun Jaitley Stadium,22.87537836960696
Ramakrishna Ghosh,CHE,AR,2024-04-01,PBKS,Arun Jaitley Stadium,19.39696998679005
Ramakrishna Ghosh,CHE,AR,2023-05-18,CSK,Punjab Cricket Association Stadium,16.191935060319793
Ramakrishna Ghosh,CHE,AR,2024-04-17,GT,Eden Gardens,24.34205855198659
Ramakrishna Ghosh,CHE,AR,2024-03-24,PBKS,Eden Gardens,13.315479341402071
Ramakrishna Ghosh,CHE,AR,2024-04-09,GT,Sawai Mansingh Stadium,64.62068505834642
Ramakrishna Ghosh,CHE,AR,2024-05-19,DC,M. A. Chidambaram Stadium,22.482366602636127
Ramakrishna Ghosh,CHE,AR,2024-04-03,RCB,M. Chinnaswamy Stadium,11.23199949579464
Ramakrishna Ghosh,CHE,AR,2024-03-15,DC,M. Chinnaswamy Stadium,35.37706969481049
Ramakrishna Ghosh,CHE,AR,2024-04-18,CSK,Punjab Cricket Association Stadium,19.201561706791487
Ramakrishna Ghosh,CHE,AR,2023-05-14,RR,Rajiv Gandhi International Stadium,19.296685866804754
Shaik Rasheed,CHE,BAT,2023-04-06,GT,Sawai Mansingh Stadium,38.234270305905426
Shaik Rasheed,CHE,BAT,2024-04-20,SRH,Wankhede Stadium,31.856027592466678
Shaik Rasheed,CHE,BAT,2024-03-26,CSK,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,19.54170433320218
Shaik Rasheed,CHE,BAT,2023-05-20,SRH,Wankhede Stadium,35.80530404824118
Shaik Rasheed,CHE,BAT,2024-04-21,LSG,Arun Jaitley Stadium,19.428962983326905
Shaik Rasheed,CHE,BAT,2024-04-28,RR,Sawai Mansingh Stadium,17.41277764264153
Shaik Rasheed,CHE,BAT,2023-04-23,MI,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,33.58727964413735
Shaik Rasheed,CHE,BAT,2023-05-19,LSG,Sawai Mansingh Stadium,17.978137174462134
Shaik Rasheed,CHE,BAT,2023-05-25,GT,Eden Gardens,19.3889137377466
Shaik Rasheed,CHE,BAT,2024-04-05,CSK,Rajiv Gandhi International Stadium,31.91916595937444
Shaik Rasheed,CHE,BAT,2023-04-22,KKR,Rajiv Gandhi International Stadium,30.077283260413484
Shaik Rasheed,CHE,BAT,2023-05-09,CSK,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,26.35753660515341
Shaik Rasheed,CHE,BAT,2023-05-23,PBKS,M. A. Chidambaram Stadium,3.407896431399899
Shaik Rasheed,CHE,BAT,2023-05-23,RR,Rajiv Gandhi International Stadium,6.817317979380036
Shaik Rasheed,CHE,BAT,2024-03-13,RR,Wankhede Stadium,29.158177995989902
Shaik Rasheed,CHE,BAT,2024-03-02,RR,M. A. Chidambaram Stadium,35.790908821342434
Shaik Rasheed,CHE,BAT,2023-05-09,SRH,Eden Gardens,23.285019157316086
Shaik Rasheed,CHE,BAT,2024-05-19,RCB,Eden Gardens,36.189124673248536
Shaik Rasheed,CHE,BAT,2024-04-06,CSK,M. Chinnaswamy Stadium,3.197741498431405
Shaik Rasheed,CHE,BAT,2024-04-16,LSG,Rajiv Gandhi International Stadium,12.185000265477028
Gurjapneet Singh,CHE,BOWL,2024-03-28,KKR,Arun Jaitley Stadium,18.820926851902897
Gurjapneet Singh,CHE,BOWL,2023-05-12,RR,Punjab Cricket Association Stadium,28.251637402264727
Gurjapneet Singh,CHE,BOWL,2024-04-25,RR,Narendra Modi Stadium,32.52074908695564
Gurjapneet Singh,CHE,BOWL,2023-05-01,SRH,Arun Jaitley Stadium,50.264473012633125
Gurjapneet Singh,CHE,BOWL,2023-05-08,MI,Wankhede Stadium,12.54481096299204
Gurjapneet Singh,CHE,BOWL,2024-04-30,RR,Wankhede Stadium,26.313962993506845
Gurjapneet Singh,CHE,BOWL,2023-04-03,CSK,Sawai Mansingh Stadium,25.411362845463884
Gurjapneet Singh,CHE,BOWL,2024-04-09,KKR,Arun Jaitley Stadium,60.687777974903085
Gurjapneet Singh,CHE,BOWL,2023-04-02,RCB,Eden Gardens,34.834841474425716
Gurjapneet Singh,CHE,BOWL,2024-04-29,CSK,Eden Gardens,40.737993272158064
Gurjapneet Singh,CHE,BOWL,2023-04-06,LSG,M. Chinnaswamy Stadium,20.560686494641242
Gurjapneet Singh,CHE,BOWL,2023-05-31,RCB,M. A. Chidambaram Stadium,8.11225737617455
Gurjapneet Singh,CHE,BOWL,2024-03-07,MI,Eden Gardens,13.588988004780825
Gurjapneet Singh,CHE,BOWL,2024-05-26,SRH,M. A. Chidambaram Stadium,17.403534099236325
Gurjapneet Singh,CHE,BOWL,2023-04-12,RCB,Sawai Mansingh Stadium,34.47290568484092
Gurjapneet Singh,CHE,BOWL,2024-03-07,PBKS,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,38.00940115120464
Gurjapneet Singh,CHE,BOWL,2024-04-15,PBKS,M. A. Chidambaram Stadium,27.874581947906496
Gurjapneet Singh,CHE,BOWL,2024-04-15,DC,Rajiv Gandhi International Stadium,38.57954057279985
Gurjapneet Singh,CHE,BOWL,2023-05-13,PBKS,Punjab Cricket Association Stadium,27.647227339799496
Gurjapneet Singh,CHE,BOWL,2023-05-07,GT,Narendra Modi Stadium,29.316096970577263
Gurjapneet Singh,CHE,BOWL,2023-04-21,SRH,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,26.090269108391528
Gurjapneet Singh,CHE,BOWL,2023-05-05,GT,Eden Gardens,27.26194484674963
Matheesha Pathirana,CHE,BOWL,2023-05-22,PBKS,M. Chinnaswamy Stadium,52.88066033524722
Matheesha Pathirana,CHE,BOWL,2024-04-24,RCB,Narendra Modi Stadium,37.205312006781654
Matheesha Pathirana,CHE,BOWL,2024-04-10,CSK,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,33.59522868923362
Matheesha Pathirana,CHE,BOWL,2024-05-22,RR,Narendra Modi Stadium,57.29453927614359
Matheesha Pathirana,CHE,BOWL,2023-04-08,DC,M. Chinnaswamy Stadium,68.67970517589158
Matheesha Pathirana,CHE,BOWL,2024-04-11,MI,Arun Jaitley Stadium,37.36823129073448
Matheesha Pathirana,CHE,BOWL,2023-04-26,MI,Wankhede Stadium,78.73983270525022
Matheesha Pathirana,CHE,BOWL,2023-05-18,MI,Wankhede Stadium,27.514260423709825
Matheesha Pathirana,CHE,BOWL,2023-03-31,DC,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,72.719494103635
Matheesha Pathirana,CHE,BOWL,2024-04-30,LSG,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,29.209899809002874
Matheesha Pathirana,CHE,BOWL,2023-04-06,PBKS,Arun Jaitley Stadium,35.5692105746406
Matheesha Pathirana,CHE,BOWL,2023-04-03,KKR,Rajiv Gandhi International Stadium,62.38359161562934
Matheesha Pathirana,CHE,BOWL,2024-03-12,SRH,Rajiv Gandhi International Stadium,30.568499338630254
Matheesha Pathirana,CHE,BOWL,2024-05-19,RR,Arun Jaitley Stadium,40.297200359932866
Matheesha Pathirana,CHE,BOWL,2024-04-25,GT,Rajiv Gandhi International Stadium,62.87404010611325
Matheesha Pathirana,CHE,BOWL,2024-05-10,DC,Arun Jaitley Stadium,27.390376866916156
Matheesha Pathirana,CHE,BOWL,2024-03-27,CSK,M. A. Chidambaram Stadium,52.330556672186226
Matheesha Pathirana,CHE,BOWL,2023-04-12,MI,M. Chinnaswamy Stadium,65.64468249650692
Matheesha Pathirana,CHE,BOWL,2023-04-16,MI,Rajiv Gandhi International Stadium,48.979458760629846
Matheesha Pathirana,CHE,BOWL,2023-04-11,RCB,M. A. Chidambaram Stadium,60.55527754433843
Matheesha Pathirana,CHE,BOWL,2023-05-05,KKR,M. Chinnaswamy Stadium,35.20401048446328
Matheesha Pathirana,CHE,BOWL,2024-04-18,SRH,Narendra Modi Stadium,56.09419788006066
Matheesha Pathirana,CHE,BOWL,2024-03-25,RCB,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,38.27490703877301
Matheesha Pathirana,CHE,BOWL,2023-04-29,RCB,Wankhede Stadium,22.300059251375707
Matheesha Pathirana,CHE,BOWL,2023-04-10,LSG,Rajiv Gandhi International Stadium,13.660282217417011
Matheesha Pathirana,CHE,BOWL,2023-05-31,DC,Eden Gardens,77.63582333951125
Matheesha Pathirana,CHE,BOWL,2024-04-02,PBKS,Eden Gardens,40.187298355121776
Noor Ahmad,CHE,BOWL,2024-05-01,RCB,Narendra Modi Stadium,45.15998799775019
Noor Ahmad,CHE,BOWL,2024-04-22,PBKS,Sawai Mansingh Stadium,48.35680813109525
Noor Ahmad,CHE,BOWL,2023-04-17,RCB,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,54.86522526683181
Noor Ahmad,CHE,BOWL,2023-04-29,LSG,Arun Jaitley Stadium,44.78912851690491
Noor Ahmad,CHE,BOWL,2024-05-10,PBKS,Rajiv Gandhi International Stadium,37.07511001545613
Noor Ahmad,CHE,BOWL,2024-05-04,CSK,Eden Gardens,57.50968627284632
Noor Ahmad,CHE,BOWL,2024-05-25,LSG,Eden Gardens,54.045556501709676
Noor Ahmad,CHE,BOWL,2024-04-02,RR,Eden Gardens,41.7193285856041
Noor Ahmad,CHE,BOWL,2024-03-08,CSK,Wankhede Stadium,48.00240526867202
Noor Ahmad,CHE,BOWL,2023-05-16,SRH,M. A. Chidambaram Stadium,45.23008253882773
Noor Ahmad,CHE,BOWL,2024-03-24,DC,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,40.92575195914557
Noor Ahmad,CHE,BOWL,2023-05-08,GT,M. Chinnaswamy Stadium,44.98058396588416
Noor Ahmad,CHE,BOWL,2024-05-19,CSK,Arun Jaitley Stadium,32.36075710795851
Noor Ahmad,CHE,BOWL,2023-04-14,LSG,Wankhede Stadium,50.44870001527922
Noor Ahmad,CHE,BOWL,2024-05-10,RCB,Arun Jaitley Stadium,38.145764367258415
Noor Ahmad,CHE,BOWL,2024-04-02,SRH,M. Chinnaswamy Stadium,34.70214044367809
Noor Ahmad,CHE,BOWL,2024-05-06,RR,M. A. Chidambaram Stadium,81.45185954373682
Noor Ahmad,CHE,BOWL,2023-05-22,SRH,M. Chinnaswamy Stadium,57.38305046895935
Noor Ahmad,CHE,BOWL,2024-05-21,KKR,Wankhede Stadium,51.7683811624506
Noor Ahmad,CHE,BOWL,2024-05-26,LSG,Punjab Cricket Association Stadium,45.386701133192545
Noor Ahmad,CHE,BOWL,2024-03-12,GT,Sawai Mansingh Stadium,15.937228941264747
Noor Ahmad,CHE,BOWL,2024-05-05,SRH,Arun Jaitley Stadium,47.53808362986949
Noor Ahmad,CHE,BOWL,2023-05-26,KKR,Arun Jaitley Stadium,36.072434543718565
Noor Ahmad,CHE,BOWL,2023-05-01,KKR,Wankhede Stadium,63.50409773032206
Noor Ahmad,CHE,BOWL,2024-03-25,CSK,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,43.91036042480912
Anshul Kamboj,CHE,BOWL,2023-05-13,GT,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,34.26799785213876
Anshul Kamboj,CHE,BOWL,2024-03-19,SRH,M. Chinnaswamy Stadium,30.150084959051835
Anshul Kamboj,CHE,BOWL,2024-03-27,LSG,Sawai Mansingh Stadium,53.345393664990745
Anshul Kamboj,CHE,BOWL,2024-04-16,CSK,M. Chinnaswamy Stadium,51.354631814378386
Anshul Kamboj,CHE,BOWL,2023-05-27,KKR,M. A. Chidambaram Stadium,43.773561819571285
Anshul Kamboj,CHE,BOWL,2023-04-13,LSG,Rajiv Gandhi International Stadium,37.66924377366299
Anshul Kamboj,CHE,BOWL,2024-04-28,LSG,Sawai Mansingh Stadium,37.03328940968529
Anshul Kamboj,CHE,BOWL,2023-05-05,SRH,Eden Gardens,39.13292965743326
Anshul Kamboj,CHE,BOWL,2024-04-20,SRH,Rajiv Gandhi International Stadium,33.34990105061618
Anshul Kamboj,CHE,BOWL,2023-04-26,RCB,Punjab Cricket Association Stadium,29.388004903753902
Anshul Kamboj,CHE,BOWL,2023-05-19,SRH,Punjab Cricket Association Stadium,23.963184303917508
Anshul Kamboj,CHE,BOWL,2024-04-20,GT,Eden Gardens,38.27569926329722
Anshul Kamboj,CHE,BOWL,2024-04-04,PBKS,Punjab Cricket Association Stadium,19.41475379919683
Anshul Kamboj,CHE,BOWL,2023-04-09,PBKS,M. Chinnaswamy Stadium,36.351610060568746
Anshul Kamboj,CHE,BOWL,2023-05-13,KKR,Eden Gardens,25.232250265780554
Anshul Kamboj,CHE,BOWL,2024-05-24,RCB,Arun Jaitley Stadium,33.33849021958207
Anshul Kamboj,CHE,BOWL,2024-03-17,MI,Punjab Cricket Association Stadium,16.039936553775433
Anshul Kamboj,CHE,BOWL,2023-04-27,CSK,Rajiv Gandhi International Stadium,21.68931279149891
Anshul Kamboj,CHE,BOWL,2023-04-29,DC,Punjab Cricket Association Stadium,53.19944667745804
Anshul Kamboj,CHE,BOWL,2024-04-05,RCB,M. A. Chidambaram Stadium,24.131147624631392
Anshul Kamboj,CHE,BOWL,2023-05-03,MI,Eden Gardens,26.908815015390328
Anshul Kamboj,CHE,BOWL,2023-05-19,LSG,Eden Gardens,15.375824307272566
Nathan Ellis,CHE,BOWL,2023-04-15,MI,M. Chinnaswamy Stadium,25.20436074829169
Nathan Ellis,CHE,BOWL,2024-03-28,CSK,Wankhede Stadium,12.077974588906667
Nathan Ellis,CHE,BOWL,2024-04-22,CSK,M. A. Chidambaram Stadium,47.59246654392047
Nathan Ellis,CHE,BOWL,2023-04-03,CSK,Narendra Modi Stadium,12.56415813784134
Nathan Ellis,CHE,BOWL,2024-05-21,CSK,M. A. Chidambaram Stadium,29.01361510791363
Nathan Ellis,CHE,BOWL,2024-04-22,CSK,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,27.409601224197417
Nathan Ellis,CHE,BOWL,2024-04-05,PBKS,Sawai Mansingh Stadium,42.48763811877398
Nathan Ellis,CHE,BOWL,2023-05-07,RR,Sawai Mansingh Stadium,57.57838819008245
Nathan Ellis,CHE,BOWL,2024-05-18,RCB,M. Chinnaswamy Stadium,43.782127270066105
Nathan Ellis,CHE,BOWL,2023-05-25,GT,M. A. Chidambaram Stadium,41.890828205681665
Nathan Ellis,CHE,BOWL,2023-04-15,GT,Rajiv Gandhi International Stadium,22.22227830030481
Nathan Ellis,CHE,BOWL,2023-04-13,CSK,M. A. Chidambaram Stadium,40.38780174906327
Nathan Ellis,CHE,BOWL,2024-03-09,MI,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,38.5789581762202
Nathan Ellis,CHE,BOWL,2024-05-07,RCB,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,20.952000477007005
Nathan Ellis,CHE,BOWL,2024-04-01,MI,Eden Gardens,17.081063326906097
Nathan Ellis,CHE,BOWL,2024-03-22,RR,Wankhede Stadium,42.0255738883253
Nathan Ellis,CHE,BOWL,2024-03-13,SRH,Sawai Mansingh Stadium,47.83044533140831
Nathan Ellis,CHE,BOWL,2024-04-14,GT,Arun Jaitley Stadium,33.92770023347543
Nathan Ellis,CHE,BOWL,2023-04-26,PBKS,Rajiv Gandhi International Stadium,25.17098558598415
Nathan Ellis,CHE,BOWL,2024-03-13,PBKS,Narendra Modi Stadium,35.34789560809459
Nathan Ellis,CHE,BOWL,2023-05-10,LSG,Wankhede Stadium,38.140029973513144
Nathan Ellis,CHE,BOWL,2023-04-23,GT,Rajiv Gandhi International Stadium,27.733135125981825
Nathan Ellis,CHE,BOWL,2024-04-28,LSG,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,28.73964914382113
Nathan Ellis,CHE,BOWL,2023-03-31,LSG,M. A. Chidambaram Stadium,39.39735533360368
Mukesh Choudhary,CHE,BOWL,2023-04-06,KKR,Wankhede Stadium,35.29750682797918
Mukesh Choudhary,CHE,BOWL,2024-04-08,SRH,Wankhede Stadium,33.67066227668298
Mukesh Choudhary,CHE,BOWL,2024-05-25,PBKS,Rajiv Gandhi International Stadium,18.193653610682052
Mukesh Choudhary,CHE,BOWL,2024-05-06,DC,Eden Gardens,28.760383793383536
Mukesh Choudhary,CHE,BOWL,2023-05-14,PBKS,Punjab Cricket Association Stadium,27.661806564052654
Mukesh Choudhary,CHE,BOWL,2024-05-28,PBKS,M. Chinnaswamy Stadium,37.39531517731372
Mukesh Choudhary,CHE,BOWL,2023-04-12,MI,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,33.80671391766002
Mukesh Choudhary,CHE,BOWL,2024-04-21,KKR,Narendra Modi Stadium,38.9064248555864
Mukesh Choudhary,CHE,BOWL,2023-04-09,CSK,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,39.49066710230102
Mukesh Choudhary,CHE,BOWL,2024-04-13,LSG,M. A. Chidambaram Stadium,20.944428398160337
Mukesh Choudhary,CHE,BOWL,2024-04-27,CSK,Narendra Modi Stadium,31.36646138351297
Mukesh Choudhary,CHE,BOWL,2023-05-03,CSK,Arun Jaitley Stadium,14.687304872259597
Mukesh Choudhary,CHE,BOWL,2024-03-29,MI,Eden Gardens,25.069267244796432
Mukesh Choudhary,CHE,BOWL,2023-05-24,RR,Wankhede Stadium,30.437531760203925
Mukesh Choudhary,CHE,BOWL,2024-05-23,MI,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,37.59599178405353
Mukesh Choudhary,CHE,BOWL,2024-03-25,CSK,M. A. Chidambaram Stadium,38.54305419190912
Mukesh Choudhary,CHE,BOWL,2024-05-17,PBKS,Punjab Cricket Association Stadium,28.236902012388306
Mukesh Choudhary,CHE,BOWL,2023-05-09,RCB,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,39.3232172584024
Mukesh Choudhary,CHE,BOWL,2023-04-27,MI,M. A. Chidambaram Stadium,22.359577869915242
Mukesh Choudhary,CHE,BOWL,2023-04-04,LSG,Rajiv Gandhi International Stadium,46.6734113177695
Mukesh Choudhary,CHE,BOWL,2024-04-20,KKR,M. Chinnaswamy Stadium,17.16010195123291
Mukesh Choudhary,CHE,BOWL,2024-05-20,LSG,Eden Gardens,15.86069671601988
Mukesh Choudhary,CHE,BOWL,2024-05-11,CSK,Eden Gardens,13.273982110516235
Ruturaj Gaikwad,CHE,BAT,2024-05-19,GT,Rajiv Gandhi International Stadium,59.99310240311281
Ruturaj Gaikwad,CHE,BAT,2024-05-01,MI,M. A. Chidambaram Stadium,26.09001339696692
Ruturaj Gaikwad,CHE,BAT,2024-04-11,CSK,M. A. Chidambaram Stadium,42.54147514421799
Ruturaj Gaikwad,CHE,BAT,2024-05-22,MI,Wankhede Stadium,67.29376945456883
Ruturaj Gaikwad,CHE,BAT,2024-04-14,LSG,Punjab Cricket Association Stadium,81.03086896327007
Ruturaj Gaikwad,CHE,BAT,2024-04-01,SRH,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,31.80887673179007
Ruturaj Gaikwad,CHE,BAT,2023-05-06,RCB,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,62.66716484211871
Ruturaj Gaikwad,CHE,BAT,2023-05-30,MI,Wankhede Stadium,55.83553904862298
Ruturaj Gaikwad,CHE,BAT,2024-05-27,RR,Wankhede Stadium,40.464727014313574
Ruturaj Gaikwad,CHE,BAT,2023-04-07,KKR,Rajiv Gandhi International Stadium,12.88800656135538
Ruturaj Gaikwad,CHE,BAT,2023-04-29,CSK,Wankhede Stadium,59.552345235718875
Ruturaj Gaikwad,CHE,BAT,2023-04-19,RR,Punjab Cricket Association Stadium,46.93992027453065
Ruturaj Gaikwad,CHE,BAT,2023-05-30,RCB,Punjab Cricket Association Stadium,85.56725241512675
Ruturaj Gaikwad,CHE,BAT,2024-05-04,DC,M. Chinnaswamy Stadium,63.97203266003661
Ruturaj Gaikwad,CHE,BAT,2023-05-08,LSG,Arun Jaitley Stadium,101.16969724118673
Ruturaj Gaikwad,CHE,BAT,2024-03-21,LSG,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,73.72779882555828
Ruturaj Gaikwad,CHE,BAT,2024-03-16,RCB,Narendra Modi Stadium,42.715547433046716
Ruturaj Gaikwad,CHE,BAT,2024-03-01,GT,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,51.349293924747485
Ruturaj Gaikwad,CHE,BAT,2023-04-22,MI,Wankhede Stadium,50.47596266508297
Ruturaj Gaikwad,CHE,BAT,2023-05-02,LSG,Wankhede Stadium,68.96228625297391
Ruturaj Gaikwad,CHE,BAT,2024-03-03,SRH,Punjab Cricket Association Stadium,55.10859917291382
Ruturaj Gaikwad,CHE,BAT,2024-04-26,SRH,Narendra Modi Stadium,6.794913132203819
Ruturaj Gaikwad,CHE,BAT,2024-04-14,RCB,Sawai Mansingh Stadium,40.8530256328791
Ruturaj Gaikwad,CHE,BAT,2024-04-06,LSG,Arun Jaitley Stadium,39.65780017536104
Ruturaj Gaikwad,CHE,BAT,2023-04-25,DC,Wankhede Stadium,12.569239340278745
Ruturaj Gaikwad,CHE,BAT,2024-05-24,GT,Arun Jaitley Stadium,69.86775055824155
Ruturaj Gaikwad,CHE,BAT,2023-05-10,GT,M. A. Chidambaram Stadium,63.65762578979812
Ruturaj Gaikwad,CHE,BAT,2023-04-19,MI,Sawai Mansingh Stadium,24.128337359156987
Kamlesh Nagarkoti,CHE,BOWL,2023-04-14,SRH,Arun Jaitley Stadium,23.751176015810408
Kamlesh Nagarkoti,CHE,BOWL,2024-05-05,LSG,M. Chinnaswamy Stadium,17.259696865917597
Kamlesh Nagarkoti,CHE,BOWL,2024-05-23,RCB,Sawai Mansingh Stadium,57.23971985273983
Kamlesh Nagarkoti,CHE,BOWL,2024-03-25,CSK,Punjab Cricket Association Stadium,38.24453070432831
Kamlesh Nagarkoti,CHE,BOWL,2024-05-23,CSK,Sawai Mansingh Stadium,45.82368730821741
Kamlesh Nagarkoti,CHE,BOWL,2023-05-04,DC,Narendra Modi Stadium,16.384153101169858
